name_kr,name_us,name_jp,release_date,genre,kr_local,kr_chat,us_local,us_chat,jp_local,jp_chat,kr_url,us_url,jp_url
동키콩 바난자,Donkey Kong™ Bananza,ドンキーコング バナンザ,2025/7/17,"Action, Adventure",True,True,True,True,True,True,https://store.nintendo.co.kr/70010000096811,https://www.nintendo.com/us/store/products/donkey-kong-bananza-switch-2/,https://store-jp.nintendo.com/item/software/D70010000096306
Split Fiction - 친구 패스（Friend's Pass）,Split Fiction - Friend's Pass,,2025/6/5,"Action, Adventure, Puzzle",True,False,True,True,False,False,https://store.nintendo.co.kr/70010000097011,https://www.nintendo.com/us/store/products/split-fiction-friends-pass-switch-2/,
뿌요뿌요™테트리스®2S,Puyo Puyo™ Tetris® 2S,ぷよぷよ™テトリス®２Ｓ,2025/6/5,"Party, Puzzle",True,True,True,True,True,True,https://store.nintendo.co.kr/70010000095332,https://www.nintendo.com/us/store/products/puyo-puyo-tetris-2s-switch-2/,https://store-jp.nintendo.com/item/software/D70010000095329
Split Fiction,Split Fiction,スプリット・フィクション,2025/6/5,"Action, Adventure, Puzzle",True,False,True,True,True,False,https://store.nintendo.co.kr/70010000097436,https://www.nintendo.com/us/store/products/split-fiction-switch-2/,https://store-jp.nintendo.com/item/software/D70010000096944
Fast Fusion,Fast Fusion,Fast Fusion,2025/6/5,Racing,True,True,True,True,True,True,https://store.nintendo.co.kr/70010000097009,https://www.nintendo.com/us/store/products/fast-fusion-switch-2/,https://store-jp.nintendo.com/item/software/D70010000096644
Survival Kids,Survival Kids,,2025/6/5,"Action, Party, Puzzle, Communication",True,False,True,True,False,False,https://store.nintendo.co.kr/70010000095997,https://www.nintendo.com/us/store/products/survival-kids-switch-2/,
,Mortal Kombat: Legacy Kollection,,,,False,False,True,True,False,False,,https://www.nintendo.com/us/store/products/mortal-kombat-legacy-kollection-switch-2/,
,NBA 2K26 x WWE 2K25 Bundle,,,,False,False,True,True,False,False,,https://www.nintendo.com/us/store/products/nba-2k26-x-wwe-2k25-bundle-switch-2/,
,Nicktoons & The Dice of Destiny,,,,False,False,True,True,False,False,,https://www.nintendo.com/us/store/products/nicktoons-and-the-dice-of-destiny-switch-2/,
,Overcooked! 2 – Nintendo Switch 2 Edition,Overcooked® 2 - オーバークック２ Nintendo Switch 2 Edition,,,False,False,True,True,True,True,,https://www.nintendo.com/us/store/products/overcooked-2-nintendo-switch-2-edition-switch-2/,https://store-jp.nintendo.com/item/software/D70010000106252
,,オバケイドロ２,,,False,False,False,False,True,True,,,https://store-jp.nintendo.com/item/software/D70010000096667
,,桃太郎電鉄２ ～あなたの町も きっとある～ Nintendo Switch 2 Edition 東日本編＋西日本編,,,False,False,False,False,True,True,,,https://store-jp.nintendo.com/item/software/D70010000101106
,,SIMPLEシリーズ for Nintendo Switch 2 Vol.1 THE 麻雀,,,False,False,False,False,True,True,,,https://store-jp.nintendo.com/item/software/D70010000106328
